X,Y,I,O
40.6800105,-73.938475,263,253
40.682601,-73.938037,549,565
40.6823687,-73.944118,847,854
40.68402,-73.94977,573,584
40.68488,-73.96304,915,900
40.6851532,-73.94111,751,717
40.686312,-73.935775,821,812
40.6900815,-73.947915,545,546
40.6894932,-73.942061,591,595
40.6883337,-73.950916,720,701
40.69072549,-73.95133465,628,623
40.69128258,-73.9452416,794,791
40.69237074,-73.93705428,750,709
40.6933982,-73.939877,423,385
40.69425403,-73.94626915,554,548
40.69622937,-73.94371094,377,376
40.69539817,-73.94954908,660,655
40.69527008,-73.95238108,415,423
40.69681963,-73.93756926,1814,1826
40.70029511,-73.95032283,469,475
40.69957608,-73.94708417,657,660
40.7016657,-73.9437303,719,792
40.7031724,-73.940636,867,905
40.70411791,-73.94818595,390,471
40.70510918,-73.94407279,706,717
40.70538077,-73.94976519,642,662
40.70583339,-73.94644578,598,634
40.70691254,-73.95441667,741,722
40.70767788,-73.94016171,661,683
40.70708701,-73.95796783,375,332
40.70870368,-73.9448625,1540,1558
40.70877084,-73.95095259,1533,1551
40.70924826,-73.96063149,1790,1676
40.70934,-73.95608,1173,1143
40.711863,-73.944024,1249,1270
40.71167351,-73.95141312,2069,2056
40.71247661,-73.94100005,1559,1570
40.71469,-73.95739,1969,1978
40.715143,-73.944507,2779,2800
40.71413311,-73.95234386,2174,2180
40.7160751,-73.952029,922,921
40.71774592,-73.95600096,3670,3868
40.71764,-73.94882,669,604
40.7190095,-73.95852515,3143,3163
40.71745169,-73.95850939,4365,4579
40.7169811,-73.94485918,1068,1086
40.71929301,-73.94500379,842,836
40.71924,-73.95242,2016,2026
40.72481256,-73.94752622,1526,1534
40.72079821,-73.95484712,2378,2398
40.72179134,-73.9504154,1250,1232
40.724055,-73.955736,1113,1148
40.72325,-73.94308,1705,1620
40.72311651,-73.95212324,3127,3149
40.72557,-73.94434,1925,1891
40.72606,-73.95621,1803,1870
40.72708584,-73.95299117,2174,2187
40.72906,-73.95779,3684,3888
40.73026,-73.95394,2205,2219
40.73232194,-73.9550858,1682,1786
40.73266,-73.95826,1711,1909
40.73564,-73.95866,1295,1288
40.73555,-73.95284,1770,1772
40.74232744,-73.95411749,2621,2683
40.74161,-73.96044,889,887
40.74524768,-73.94733276,664,637
40.74436329,-73.95587325,707,682
40.74469738,-73.93540375,431,415
40.74731,-73.95451,1682,1674
40.74708586,-73.94977234,1180,1185
40.74718234,-73.9432635,1671,1660
40.74966,-73.9521,469,457
40.75052534,-73.94594845,326,323
40.75110165,-73.94073717,3069,3073
40.75325964,-73.94335788,779,775
40.7671284,-73.96224618,1687,1676
40.76350532,-73.97109243,2587,2571
40.76312584,-73.96526895,2022,2030
40.77112927,-73.95772297,1622,1625
40.766368,-73.971518,2310,2348
40.77282817,-73.96685276,4238,4284
40.77118288,-73.96409422,2572,2456
40.77140426,-73.9535166,4184,4276
40.76500525,-73.95818491,6365,6406
40.7612274,-73.96094022,4355,4379
40.77632142,-73.96427393,3746,3720
40.77677702,-73.9590097,844,847
40.77862688,-73.95772073,1753,1667
40.77573034,-73.9567526,2171,2180
40.77801203,-73.95407149,4772,4784
40.77565541,-73.95068615,2794,2799
40.77536905,-73.94803392,2089,2107
40.7728384,-73.94989233,697,666
40.76873687,-73.96119945,1400,1162
40.76440023,-73.96648977,2467,2478
40.76663814,-73.95348296,3578,3577
40.77518615,-73.94446054,1369,1378
40.77163851,-73.98261428,4964,4543
40.77492513,-73.98266566,4891,4517
40.77896784,-73.97374737,4007,3792
40.78018397,-73.97728533,3666,2594
40.78339981,-73.98093133,2229,2202
40.7734066,-73.97782542,6603,5849
40.7770575,-73.97898475,7627,5579
40.77579377,-73.97620574,6810,6433
40.78057799,-73.98562431,3412,3442
40.77966809,-73.98093045,6366,6199
40.78472675,-73.96961715,4920,4796
40.78720869,-73.98128127,2411,2396
40.78499979,-73.97283406,2982,2759
